item_code,category,item_name,unit,standard_price,min_price,max_price,status,source,aliases,is_active
DOOR-001,DOOR,صيانة باب الفرع,مقطوعية,572.0,200.0,1200.0,معتمد,أرشيف تاريخي 2023-2024,صيانة باب اخر، صيانة باب الشطر، صيانة باب الكاشير، صيانة مقبض باب الفرع، صيانة مقبضي باب الفرع,1
DOOR-002,DOOR,عود سيلينج للباب الزجاج,عدد,150.0,150.0,150.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-003,DOOR,صيانه لباب الفرع الزجاج,مقطوعية,620.0,400.0,1200.0,معتمد,أرشيف تاريخي 2023-2024,صيانة باب الفرع الزجاج، كالون للباب الفرع الزجاج,1
DOOR-004,DOOR,كالون باب الشطر,عدد,1750.0,500.0,4000.0,معتمد,أرشيف تاريخي 2023-2024,قلب كالون باب الفرع، كالون باب الفرع، كالون باب شطر,1
DOOR-005,DOOR,توريد وتغير مفصلة دلف,عدد,123.0,100.0,150.0,معتمد,أرشيف تاريخي 2023-2024,توريد وتغير مفصلات للدلف,1
DOOR-006,DOOR,صيانة باب المخزن,مقطوعية,267.0,200.0,400.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-007,DOOR,ماكينة باب ايطالي وعمل الصيانة الباب,مقطوعية,5000.0,5000.0,5000.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-008,DOOR,مفصلات للادراف وحدات الكونتر,مقطوعية,450.0,150.0,600.0,معتمد,أرشيف تاريخي 2023-2024,مفصلات الدلف بوحدات الكونتر,1
DOOR-009,DOOR,مفصلة دلف,عدد,150.0,150.0,150.0,معتمد,أرشيف تاريخي 2023-2024,مفصلات دلف,1
DOOR-010,DOOR,مقبض باب زجاج,عدد,583.0,100.0,850.0,معتمد,أرشيف تاريخي 2023-2024,مقبض الباب الزجاج,1
DOOR-011,DOOR,تثبيت ماكينة باب المخزن,عدد,300.0,200.0,400.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-012,DOOR,تسبيت دلف الواحدات+ وصيانة المفصلات,عدد,550.0,500.0,600.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-013,DOOR,صيان وتغير مقبض الباب المخزن,مقطوعية,350.0,300.0,400.0,معتمد,أرشيف تاريخي 2023-2024,صيان وتغير مقبض الباب الزجاج,1
DOOR-014,DOOR,صيانة الباب + الزجاج + تسبيت الوجهه,مقطوعية,400.0,300.0,500.0,معتمد,أرشيف تاريخي 2023-2024,صيانة الباب الزجاج + تسبيت الوجها الزجاج,1
DOOR-015,DOOR,صيانه باب H.R,عدد,325.0,300.0,350.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-016,DOOR,صيانه للباب الذجاج وتغير المفصلة,مقطوعية,1250.0,1000.0,1500.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-017,DOOR,كالون باب الفرع البوبة الرئيسية,عدد,900.0,800.0,1000.0,معتمد,أرشيف تاريخي 2023-2024,كالون شباك الفرع البوبة الرئيسية,1
DOOR-018,DOOR,كالون باب سكوريت,عدد,575.0,300.0,850.0,معتمد,أرشيف تاريخي 2023-2024,كالون باب سيكوريت,1
DOOR-019,DOOR,ماكينه غلق اوتمتك للباب الزجاج,مقطوعية,4250.0,4000.0,4500.0,معتمد,أرشيف تاريخي 2023-2024,ماكينه غلق اوتومتك للباب الزجاج,1
DOOR-020,DOOR,مقبض باب الجرار,عدد,425.0,150.0,700.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-021,DOOR,مقبض باب المخزن,عدد,525.0,250.0,800.0,معتمد,أرشيف تاريخي 2023-2024,طقم مقبض لباب المخزن,1
DOOR-022,DOOR,توريد وتغير مفصلة الباب السفلي,عدد,900.0,700.0,1000.0,معتمد,أرشيف تاريخي 2023-2024,توريد وتغير مفصلة باب الفرع,1
DOOR-023,DOOR,كالون حماية,عدد,367.0,50.0,1000.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-024,DOOR,الدهانات حول باب معدني,مقطوعية,400.0,400.0,400.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-025,DOOR,الصيانة الباب الشطر وعمل مايلزم,مقطوعية,2000.0,2000.0,2000.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-026,DOOR,باب زجاج لتغير الباب السابق,مقطوعية,400.0,400.0,400.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-027,DOOR,بادي باب شطر كامل بيكوتش والتربيس,مقطوعية,2000.0,2000.0,2000.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-028,DOOR,تجميع باب المخزن واعادة تركيبه,مقطوعية,200.0,200.0,200.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-029,DOOR,ترميم الباب الخلفي للفرع,مقطوعية,300.0,300.0,300.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-030,DOOR,ترميم ودهان الوحدة اعلي الباب الصاج,مقطوعية,1000.0,1000.0,1000.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-031,DOOR,تسبيت تلميع عتبة باب الفرع,مقطوعية,200.0,200.0,200.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-032,DOOR,تسبيت وزة الرخام بجانب باب السكريت,مقطوعية,300.0,300.0,300.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-033,DOOR,تصنيع وتوريد وتركيب باب الكونتر,عدد,2500.0,2500.0,2500.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-034,DOOR,تعديل لباب المخزن بعد تركيب الارضيات,مقطوعية,300.0,300.0,300.0,معتمد,أرشيف تاريخي 2023-2024,,1
DOOR-035,DOOR,تغير وتركيب مسمار مقبضي باب زجاج,عدد,1500.0,1500.0,1500.0,معتمد,أرشيف تاريخي 2023-2024,,1
